Episode,name,Title,Season,Date,isSerie
BoJack the Feminist,BoJack Horseman,BoJack Horseman Season 5 BoJack the Feminist,5,11-nov.-18,TRUE
Foiled Again,The Suite Life of Zack & Cody,The Suite Life of Zack & Cody Season 3 Foiled Again,3,10-nov.-18,TRUE
Tiptonline,The Suite Life of Zack & Cody,The Suite Life of Zack & Cody Season 3 Tiptonline,3,10-nov.-18,TRUE
A Tale of Two Houses,The Suite Life of Zack & Cody,The Suite Life of Zack & Cody Season 3 A Tale of Two Houses,3,10-nov.-18,TRUE
Orchestra,The Suite Life of Zack & Cody,The Suite Life of Zack & Cody Season 3 Orchestra,3,10-nov.-18,TRUE
Chapter One October Country,Chilling Adventures of Sabrina,Chilling Adventures of Sabrina Part 1 Chapter One October Country,1,10-nov.-18,TRUE
Planned Obsolescence,BoJack Horseman,BoJack Horseman Season 5 Planned Obsolescence,5,09-nov.-18,TRUE
The Dog Days Are Over,BoJack Horseman,BoJack Horseman Season 5 The Dog Days Are Over,5,09-nov.-18,TRUE
The Light Bulb Scene,BoJack Horseman,BoJack Horseman Season 5 The Light Bulb Scene,5,09-nov.-18,TRUE
What Time Is It Right Now,BoJack Horseman,BoJack Horseman Season 4 What Time Is It Right Now,4,09-nov.-18,TRUE
Time's Arrow,BoJack Horseman,BoJack Horseman Season 4 Time's Arrow,4,09-nov.-18,TRUE
lovin that cali lifestyle!!,BoJack Horseman,BoJack Horseman Season 4 lovin that cali lifestyle!!,4,09-nov.-18,TRUE
Ruthie,BoJack Horseman,BoJack Horseman Season 4 Ruthie,4,08-nov.-18,TRUE
The Judge,BoJack Horseman,BoJack Horseman Season 4 The Judge,4,08-nov.-18,TRUE
Underground,BoJack Horseman,BoJack Horseman Season 4 Underground,4,08-nov.-18,TRUE
Stupid Piece of Sh*t,BoJack Horseman,BoJack Horseman Season 4 Stupid Piece of Sh*t,4,08-nov.-18,TRUE
Thoughts and Prayers,BoJack Horseman,BoJack Horseman Season 4 Thoughts and Prayers,4,07-nov.-18,TRUE
Commence Fracking,BoJack Horseman,BoJack Horseman Season 4 Commence Fracking,4,06-nov.-18,TRUE
Hooray! Todd Episode!,BoJack Horseman,BoJack Horseman Season 4 Hooray! Todd Episode!,4,06-nov.-18,TRUE
The Old Sugarman Place,BoJack Horseman,BoJack Horseman Season 4 The Old Sugarman Place,4,06-nov.-18,TRUE
See Mr. Peanutbutter Run,BoJack Horseman,BoJack Horseman Season 4 See Mr. Peanutbutter Run,4,06-nov.-18,TRUE
That Went Well,BoJack Horseman,BoJack Horseman Season 3 That Went Well,3,06-nov.-18,TRUE
"That's Too Much, Man!",BoJack Horseman,"BoJack Horseman Season 3 That's Too Much, Man!",3,05-nov.-18,TRUE
It's You,BoJack Horseman,BoJack Horseman Season 3 It's You,3,05-nov.-18,TRUE
Best Thing That Ever Happened,BoJack Horseman,BoJack Horseman Season 3 Best Thing That Ever Happened,3,05-nov.-18,TRUE
Old Acquaintance,BoJack Horseman,BoJack Horseman Season 3 Old Acquaintance,3,05-nov.-18,TRUE
Stop the Presses,BoJack Horseman,BoJack Horseman Season 3 Stop the Presses,3,04-nov.-18,TRUE
Brrap Brrap Pew Pew,BoJack Horseman,BoJack Horseman Season 3 Brrap Brrap Pew Pew,3,04-nov.-18,TRUE
Love And/Or Marriage,BoJack Horseman,BoJack Horseman Season 3 Love And/Or Marriage,3,03-nov.-18,TRUE
Fish Out Of Water,BoJack Horseman,BoJack Horseman Season 3 Fish Out Of Water,3,03-nov.-18,TRUE
BoJack Kills,BoJack Horseman,BoJack Horseman Season 3 BoJack Kills,3,02-nov.-18,TRUE
The BoJack Horseman Show,BoJack Horseman,BoJack Horseman Season 3 The BoJack Horseman Show,3,02-nov.-18,TRUE
Start Spreading the News,BoJack Horseman,BoJack Horseman Season 3 Start Spreading the News,3,02-nov.-18,TRUE
Out to Sea,BoJack Horseman,BoJack Horseman Season 2 Out to Sea,2,01-nov.-18,TRUE
Escape from L.A.,BoJack Horseman,BoJack Horseman Season 2 Escape from L.A.,2,01-nov.-18,TRUE
Yes And,BoJack Horseman,BoJack Horseman Season 2 Yes And,2,01-nov.-18,TRUE
The Shot,BoJack Horseman,BoJack Horseman Season 2 The Shot,2,01-nov.-18,TRUE
Let's Find Out,BoJack Horseman,BoJack Horseman Season 2 Let's Find Out,2,31-oct.-18,TRUE
Hank After Dark,BoJack Horseman,BoJack Horseman Season 2 Hank After Dark,2,31-oct.-18,TRUE
Higher Love,BoJack Horseman,BoJack Horseman Season 2 Higher Love,2,31-oct.-18,TRUE
Chickens,BoJack Horseman,BoJack Horseman Season 2 Chickens,2,31-oct.-18,TRUE
After the Party,BoJack Horseman,BoJack Horseman Season 2 After the Party,2,31-oct.-18,TRUE
Still Broken,BoJack Horseman,BoJack Horseman Season 2 Still Broken,2,31-oct.-18,TRUE
Yesterdayland,BoJack Horseman,BoJack Horseman Season 2 Yesterdayland,2,31-oct.-18,TRUE
Brand New Couch,BoJack Horseman,BoJack Horseman Season 2 Brand New Couch,2,31-oct.-18,TRUE
Later,BoJack Horseman,BoJack Horseman Season 1 Later,1,31-oct.-18,TRUE
Downer Ending,BoJack Horseman,BoJack Horseman Season 1 Downer Ending,1,31-oct.-18,TRUE
One Trick Pony,BoJack Horseman,BoJack Horseman Season 1 One Trick Pony,1,31-oct.-18,TRUE
Horse Majeure,BoJack Horseman,BoJack Horseman Season 1 Horse Majeure,1,31-oct.-18,TRUE
The Telescope,BoJack Horseman,BoJack Horseman Season 1 The Telescope,1,29-oct.-18,TRUE
Say Anything,BoJack Horseman,BoJack Horseman Season 1 Say Anything,1,29-oct.-18,TRUE
Our A-Story Is a 'D' Story,BoJack Horseman,BoJack Horseman Season 1 Our A-Story Is a 'D' Story,1,29-oct.-18,TRUE
"Live Fast, Diane Nguyen",BoJack Horseman,"BoJack Horseman Season 1 Live Fast, Diane Nguyen",1,26-oct.-18,TRUE
Pillow Talk,Big Mouth,Big Mouth Season 1 Pillow Talk,1,24-oct.-18,TRUE
Girls Are Horny Too,Big Mouth,Big Mouth Season 1 Girls Are Horny Too,1,24-oct.-18,TRUE
Sleepover A Harrowing Ordeal of Emotional Brutality,Big Mouth,Big Mouth Season 1 Sleepover A Harrowing Ordeal of Emotional Brutality,1,24-oct.-18,TRUE
Am I Gay?,Big Mouth,Big Mouth Season 1 Am I Gay?,1,24-oct.-18,TRUE
Everybody Bleeds,Big Mouth,Big Mouth Season 1 Everybody Bleeds,1,24-oct.-18,TRUE
Ejaculation,Big Mouth,Big Mouth Season 1 Ejaculation,1,23-oct.-18,TRUE
Zoës and Zeldas,BoJack Horseman,BoJack Horseman Season 1 Zoës and Zeldas,1,23-oct.-18,TRUE
,The Amazing Spider-Man 2,The Amazing Spider-Man 2,,22-oct.-18,FALSE
,Watchmen,Watchmen,,22-oct.-18,FALSE
Chapter 20 Revenge,Cable Girls,Cable Girls Season 3 Chapter 20 Revenge,3,20-oct.-18,TRUE
Chapter 19 Truth,Cable Girls,Cable Girls Season 3 Chapter 19 Truth,3,20-oct.-18,TRUE
Chapter 18 Death,Cable Girls,Cable Girls Season 3 Chapter 18 Death,3,20-oct.-18,TRUE
,Veronica,Veronica,,19-oct.-18,FALSE
Steve the Virgin,Big Mouth,Big Mouth Season 2 Steve the Virgin,2,18-oct.-18,TRUE
NARCISSUS (symb. lies),The House of Flowers,The House of Flowers Season 1 NARCISSUS (symb. lies),1,16-oct.-18,TRUE
Ask a Foolish Question / Misperceived Monotreme,Phineas and Ferb,Phineas and Ferb Season 3 Ask a Foolish Question / Misperceived Monotreme,3,16-oct.-18,TRUE
Pilot Mole Hunt,Archer,Archer Season 1 Pilot Mole Hunt,1,16-oct.-18,TRUE
,Horsin' Around,Horsin' Around,,16-oct.-18,FALSE
Chapter 1 Dreams,Cable Girls,Cable Girls Season 1 Chapter 1 Dreams,1,15-oct.-18,TRUE
The Department of Puberty,Big Mouth,Big Mouth Season 2 The Department of Puberty,2,14-oct.-18,TRUE
David vs. Goliath,Fastest Car,Fastest Car Season 1 David vs. Goliath,1,12-oct.-18,TRUE
Smooch or Share,Big Mouth,Big Mouth Season 2 Smooch or Share,2,12-oct.-18,TRUE
Dark Side of the Boob,Big Mouth,Big Mouth Season 2 Dark Side of the Boob,2,12-oct.-18,TRUE
Guy Town,Big Mouth,Big Mouth Season 2 Guy Town,2,12-oct.-18,TRUE
Drug Buddies,Big Mouth,Big Mouth Season 2 Drug Buddies,2,12-oct.-18,TRUE
The Planned Parenthood Show,Big Mouth,Big Mouth Season 2 The Planned Parenthood Show,2,12-oct.-18,TRUE
The Shame Wizard,Big Mouth,Big Mouth Season 2 The Shame Wizard,2,11-oct.-18,TRUE
What Is It About Boobs?,Big Mouth,Big Mouth Season 2 What Is It About Boobs?,2,11-oct.-18,TRUE
Am I Normal?,Big Mouth,Big Mouth Season 2 Am I Normal?,2,11-oct.-18,TRUE
The Pornscape,Big Mouth,Big Mouth Season 1 The Pornscape,1,11-oct.-18,TRUE
I Survived Jessi's Bat Mitzvah,Big Mouth,Big Mouth Season 1 I Survived Jessi's Bat Mitzvah,1,11-oct.-18,TRUE
Chapter 13,El marginal,El marginal Season 1 Chapter 13,1,10-oct.-18,TRUE
A Human Female,Atypical,Atypical Season 1 A Human Female,1,09-oct.-18,TRUE
Antarctica,Atypical,Atypical Season 1 Antarctica,1,08-oct.-18,TRUE
Chapter Ten,Final Space,Final Space Season 1 Chapter Ten,1,08-oct.-18,TRUE
Chapter Nine,Final Space,Final Space Season 1 Chapter Nine,1,08-oct.-18,TRUE
Chapter Eight,Final Space,Final Space Season 1 Chapter Eight,1,08-oct.-18,TRUE
Chapter Seven,Final Space,Final Space Season 1 Chapter Seven,1,08-oct.-18,TRUE
Chapter Six,Final Space,Final Space Season 1 Chapter Six,1,07-oct.-18,TRUE
Chapter Five,Final Space,Final Space Season 1 Chapter Five,1,07-oct.-18,TRUE
A Lie in the Sand,Scorpion,Scorpion Season 4 A Lie in the Sand,4,06-oct.-18,TRUE
Kenny and the Jet,Scorpion,Scorpion Season 4 Kenny and the Jet,4,05-oct.-18,TRUE
Foul Balls,Scorpion,Scorpion Season 4 Foul Balls,4,05-oct.-18,TRUE
Gator Done,Scorpion,Scorpion Season 4 Gator Done,4,05-oct.-18,TRUE
Dork Day Afternoon,Scorpion,Scorpion Season 4 Dork Day Afternoon,4,05-oct.-18,TRUE
Dumbster Fire,Scorpion,Scorpion Season 4 Dumbster Fire,4,05-oct.-18,TRUE
"Nerd, Wind and Fire",Scorpion,"Scorpion Season 4 Nerd, Wind and Fire",4,04-oct.-18,TRUE
Wave Goodbye,Scorpion,Scorpion Season 4 Wave Goodbye,4,04-oct.-18,TRUE
Lighthouse of the Rising Sun,Scorpion,Scorpion Season 4 Lighthouse of the Rising Sun,4,04-oct.-18,TRUE
The Bunker Games,Scorpion,Scorpion Season 4 The Bunker Games,4,04-oct.-18,TRUE
A Christmas Car-Roll,Scorpion,Scorpion Season 4 A Christmas Car-Roll,4,04-oct.-18,TRUE
Who Let the Dog Out (‘Cause Now It’s Stuck in a Cistern),Scorpion,Scorpion Season 4 Who Let the Dog Out (‘Cause Now It’s Stuck in a Cistern),4,04-oct.-18,TRUE
Crime Every Mountain,Scorpion,Scorpion Season 4 Crime Every Mountain,4,03-oct.-18,TRUE
It’s Raining Men (of War),Scorpion,Scorpion Season 4 It’s Raining Men (of War),4,03-oct.-18,TRUE
Faire Is Foul,Scorpion,Scorpion Season 4 Faire Is Foul,4,03-oct.-18,TRUE
Go with the Flo(rence),Scorpion,Scorpion Season 4 Go with the Flo(rence),4,03-oct.-18,TRUE
Queen Scary,Scorpion,Scorpion Season 4 Queen Scary,4,03-oct.-18,TRUE
Sci Hard,Scorpion,Scorpion Season 4 Sci Hard,4,03-oct.-18,TRUE
A Limp Alibi,American Vandal,American Vandal Season 1 A Limp Alibi,1,03-oct.-18,TRUE
The Brownout,American Vandal,American Vandal Season 2 The Brownout,2,03-oct.-18,TRUE
,First Sunday,First Sunday,,01-oct.-18,FALSE
Option C,Maniac,Maniac Limited Series Option C,1,01-oct.-18,TRUE
Utangatta,Maniac,Maniac Limited Series Utangatta,1,01-oct.-18,TRUE
The Lake of the Clouds,Maniac,Maniac Limited Series The Lake of the Clouds,1,01-oct.-18,TRUE
Ceci N'est Pas Une Drill,Maniac,Maniac Limited Series Ceci N'est Pas Une Drill,1,01-oct.-18,TRUE
Larger Structural Issues,Maniac,Maniac Limited Series Larger Structural Issues,1,01-oct.-18,TRUE
Exactly Like You,Maniac,Maniac Limited Series Exactly Like You,1,01-oct.-18,TRUE
Furs by Sebastian,Maniac,Maniac Limited Series Furs by Sebastian,1,01-oct.-18,TRUE
Having a Day,Maniac,Maniac Limited Series Having a Day,1,01-oct.-18,TRUE
Windmills,Maniac,Maniac Limited Series Windmills,1,01-oct.-18,TRUE
The Chosen One!,Maniac,Maniac Limited Series The Chosen One!,1,25-Sep-18,TRUE
Landing the Plane,F is for Family,F is for Family Season 2 Landing the Plane,2,24-Sep-18,TRUE
Pray Away,F is for Family,F is for Family Season 2 Pray Away,2,24-Sep-18,TRUE
F Is for Fixing It,F is for Family,F is for Family Season 2 F Is for Fixing It,2,24-Sep-18,TRUE
Fight Night,F is for Family,F is for Family Season 2 Fight Night,2,24-Sep-18,TRUE
This Is Not Good,F is for Family,F is for Family Season 2 This Is Not Good,2,24-Sep-18,TRUE
Breaking Bill,F is for Family,F is for Family Season 2 Breaking Bill,2,24-Sep-18,TRUE
Night Shift,F is for Family,F is for Family Season 2 Night Shift,2,24-Sep-18,TRUE
The Liar's Club,F is for Family,F is for Family Season 2 The Liar's Club,2,22-Sep-18,TRUE
A Girl Named Sue,F is for Family,F is for Family Season 2 A Girl Named Sue,2,21-Sep-18,TRUE
Heavy Sledding,F is for Family,F is for Family Season 2 Heavy Sledding,2,21-Sep-18,TRUE
O Holy Moly Night,F is for Family,F is for Family Season 1 O Holy Moly Night,1,16-Sep-18,TRUE
Bill Murphy’s Day Off,F is for Family,F is for Family Season 1 Bill Murphy’s Day Off,1,16-Sep-18,TRUE
F' is for Halloween,F is for Family,F is for Family Season 1 'F' is for Halloween,1,16-Sep-18,TRUE
The Trough,F is for Family,F is for Family Season 1 The Trough,1,16-Sep-18,TRUE
Saturday Bloody Saturday,F is for Family,F is for Family Season 1 Saturday Bloody Saturday,1,16-Sep-18,TRUE
The Bleedin’ in Sweden,F is for Family,F is for Family Season 1 The Bleedin’ in Sweden,1,15-Sep-18,TRUE
Christmas in Paradise,Paradise PD,Paradise PD Part 1 Christmas in Paradise,1,08-Sep-18,TRUE
Parent Trap,Paradise PD,Paradise PD Part 1 Parent Trap,1,08-Sep-18,TRUE
Task Force,Paradise PD,Paradise PD Part 1 Task Force,1,08-Sep-18,TRUE
Police Academy,Paradise PD,Paradise PD Part 1 Police Academy,1,08-Sep-18,TRUE
Meet the Jabowskis,Paradise PD,Paradise PD Part 1 Meet the Jabowskis,1,05-Sep-18,TRUE
Dungeons & Dragnet,Paradise PD,Paradise PD Part 1 Dungeons & Dragnet,1,05-Sep-18,TRUE
Karla,Paradise PD,Paradise PD Part 1 Karla,1,05-Sep-18,TRUE
The Gold Coast,Ozark,Ozark Season 2 The Gold Coast,2,05-Sep-18,TRUE
The Badger,Ozark,Ozark Season 2 The Badger,2,05-Sep-18,TRUE
The Big Sleep,Ozark,Ozark Season 2 The Big Sleep,2,04-Sep-18,TRUE
One Way Out,Ozark,Ozark Season 2 One Way Out,2,04-Sep-18,TRUE
Outer Darkness,Ozark,Ozark Season 2 Outer Darkness,2,04-Sep-18,TRUE
Game Day,Ozark,Ozark Season 2 Game Day,2,04-Sep-18,TRUE
Stag,Ozark,Ozark Season 2 Stag,2,04-Sep-18,TRUE
Once a Langmore...,Ozark,Ozark Season 2 Once a Langmore...,2,04-Sep-18,TRUE
The Precious Blood of Jesus,Ozark,Ozark Season 2 The Precious Blood of Jesus,2,03-Sep-18,TRUE
,The Laws of Thermodynamics,The Laws of Thermodynamics,,01-Sep-18,FALSE
Black & Blue,Paradise PD,Paradise PD Part 1 Black & Blue,1,01-Sep-18,TRUE
Reparations,Ozark,Ozark Season 2 Reparations,2,01-Sep-18,TRUE
Ass on the Line,Paradise PD,Paradise PD Part 1 Ass on the Line,1,01-Sep-18,TRUE
Welcome to Paradise,Paradise PD,Paradise PD Part 1 Welcome to Paradise,1,31-Aug-18,TRUE
Chapter Four,Final Space,Final Space Season 1 Chapter Four,1,28-Aug-18,TRUE
,The After Party,The After Party,,28-Aug-18,FALSE
,"Peace, Love & Misunderstanding","Peace, Love & Misunderstanding",,25-Aug-18,FALSE
Mr. Invisible,Mr. Young,Mr. Young Season 2 Mr. Invisible,2,25-Aug-18,TRUE
Dreamland Falls,Disenchantment,Disenchantment Part 1 Dreamland Falls,1,25-Aug-18,TRUE
To Thine Own Elf Be True,Disenchantment,Disenchantment Part 1 To Thine Own Elf Be True,1,25-Aug-18,TRUE
The Limits of Immortality,Disenchantment,Disenchantment Part 1 The Limits of Immortality,1,25-Aug-18,TRUE
Love's Tender Rampage,Disenchantment,Disenchantment Part 1 Love's Tender Rampage,1,25-Aug-18,TRUE
Swamp and Circumstance,Disenchantment,Disenchantment Part 1 Swamp and Circumstance,1,25-Aug-18,TRUE
"Faster, Princess! Kill! Kill!",Disenchantment,"Disenchantment Part 1 Faster, Princess! Kill! Kill!",1,24-Aug-18,TRUE
Castle Party Massacre,Disenchantment,Disenchantment Part 1 Castle Party Massacre,1,24-Aug-18,TRUE
The Princess of Darkness,Disenchantment,Disenchantment Part 1 The Princess of Darkness,1,24-Aug-18,TRUE
For Whom the Pig Oinks,Disenchantment,Disenchantment Part 1 For Whom the Pig Oinks,1,24-Aug-18,TRUE
"A Princess, an Elf, and a Demon Walk Into a Bar",Disenchantment,"Disenchantment Part 1 A Princess, an Elf, and a Demon Walk Into a Bar",1,24-Aug-18,TRUE
,The Prince,The Prince,,23-Aug-18,FALSE
,To All the Boys I’ve Loved Before,To All the Boys I’ve Loved Before,,19-Aug-18,FALSE
,Let's Go to Prison,Let's Go to Prison,,16-Aug-18,FALSE
,Bad Neighbours 2,Bad Neighbours 2,,14-Aug-18,FALSE
,The Forger,The Forger,,13-Aug-18,FALSE
Miss Bareback Buckaroo,Insatiable,Insatiable Season 1 Miss Bareback Buckaroo,1,11-Aug-18,TRUE
Pilot,Insatiable,Insatiable Season 1 Pilot,1,11-Aug-18,TRUE
,The Package,The Package,,11-Aug-18,FALSE
,Perdida,Perdida,,10-Aug-18,FALSE
,This Is 40,This Is 40,,09-Aug-18,FALSE
,Like Father,Like Father,,05-Aug-18,FALSE
Cuando calienta el sol,Luis Miguel - The Series,Luis Miguel - The Series Season 1 Cuando calienta el sol,1,02-Aug-18,TRUE
3AM,Marvel's The Punisher,Marvel's The Punisher Season 1 3AM,1,02-Aug-18,TRUE
Mr. Airplane,Mr. Young,Mr. Young Season 2 Mr. Airplane,2,02-Aug-18,TRUE
Chapter 12,El marginal,El marginal Season 1 Chapter 12,1,31-jul.-18,TRUE
Chapter 11,El marginal,El marginal Season 1 Chapter 11,1,31-jul.-18,TRUE
Chapter 10,El marginal,El marginal Season 1 Chapter 10,1,30-jul.-18,TRUE
Chapter 9,El marginal,El marginal Season 1 Chapter 9,1,30-jul.-18,TRUE
Chapter 8,El marginal,El marginal Season 1 Chapter 8,1,30-jul.-18,TRUE
Chapter 7,El marginal,El marginal Season 1 Chapter 7,1,30-jul.-18,TRUE
Chapter 6,El marginal,El marginal Season 1 Chapter 6,1,30-jul.-18,TRUE
Chapter 5,El marginal,El marginal Season 1 Chapter 5,1,30-jul.-18,TRUE
Chapter 4,El marginal,El marginal Season 1 Chapter 4,1,29-jul.-18,TRUE
Chapter 3,El marginal,El marginal Season 1 Chapter 3,1,29-jul.-18,TRUE
Chapter 2,El marginal,El marginal Season 1 Chapter 2,1,28-jul.-18,TRUE
Chapter 1,El marginal,El marginal Season 1 Chapter 1,1,28-jul.-18,TRUE
4/20 Fantasy,Disjointed,Disjointed Part 2 4/20 Fantasy,2,28-jul.-18,TRUE
,The Equalizer,The Equalizer,,28-jul.-18,FALSE
,Killers,Killers,,27-jul.-18,FALSE
,Father of the Year,Father of the Year,,27-jul.-18,FALSE
Lawnmower Dog,Rick and Morty,Rick and Morty Season 1 Lawnmower Dog,1,27-jul.-18,TRUE
Pilot,Rick and Morty,Rick and Morty Season 1 Pilot,1,27-jul.-18,TRUE
Chapter Three,Final Space,Final Space Season 1 Chapter Three,1,26-jul.-18,TRUE
Chapter Two,Final Space,Final Space Season 1 Chapter Two,1,25-jul.-18,TRUE
Chapter One,Final Space,Final Space Season 1 Chapter One,1,25-jul.-18,TRUE
,"Definitely, Maybe","Definitely, Maybe",,25-jul.-18,FALSE
Mr. Scooter,Mr. Young,Mr. Young Season 2 Mr. Scooter,2,25-jul.-18,TRUE
,How Most Things Work,How Most Things Work,,24-jul.-18,FALSE
The Wedding Squanchers,Rick and Morty,Rick and Morty Season 2 The Wedding Squanchers,2,20-jul.-18,TRUE
Raising Gazorpazorp,Rick and Morty,Rick and Morty Season 1 Raising Gazorpazorp,1,18-jul.-18,TRUE
Rick Potion #9,Rick and Morty,Rick and Morty Season 1 Rick Potion #9,1,18-jul.-18,TRUE
,How It Ends,How It Ends,,18-jul.-18,FALSE
Mr. Cyclops,Mr. Young,Mr. Young Season 2 Mr. Cyclops,2,17-jul.-18,TRUE
Mr. College,Mr. Young,Mr. Young Season 2 Mr. College,2,17-jul.-18,TRUE
The Ricks Must Be Crazy,Rick and Morty,Rick and Morty Season 2 The Ricks Must Be Crazy,2,15-jul.-18,TRUE
Get Schwifty,Rick and Morty,Rick and Morty Season 2 Get Schwifty,2,15-jul.-18,TRUE
Total Rickall,Rick and Morty,Rick and Morty Season 2 Total Rickall,2,15-jul.-18,TRUE
Close Rick-counters of the Rick Kind,Rick and Morty,Rick and Morty Season 1 Close Rick-counters of the Rick Kind,1,15-jul.-18,TRUE
Something Ricked This Way Comes,Rick and Morty,Rick and Morty Season 1 Something Ricked This Way Comes,1,15-jul.-18,TRUE
Rixty Minutes,Rick and Morty,Rick and Morty Season 1 Rixty Minutes,1,14-jul.-18,TRUE
A Rickle in Time,Rick and Morty,Rick and Morty Season 2 A Rickle in Time,2,14-jul.-18,TRUE
Ricksy Business,Rick and Morty,Rick and Morty Season 1 Ricksy Business,1,14-jul.-18,TRUE
,The Love Punch,The Love Punch,,13-jul.-18,FALSE
,Tomorrow You're Gone,Tomorrow You're Gone,,13-jul.-18,FALSE
,The Invention of Lying,The Invention of Lying,,12-jul.-18,FALSE
,Dying of the Light,Dying of the Light,,12-jul.-18,FALSE
,Old School,Old School,,12-jul.-18,FALSE
,Secret City A Donation to the Struggle,Secret City A Donation to the Struggle,,12-jul.-18,FALSE
,Without a Paddle,Without a Paddle,,11-jul.-18,FALSE
Remix,Good Girls,Good Girls Season 1 Remix,1,10-jul.-18,TRUE
Summer of the Shark,Good Girls,Good Girls Season 1 Summer of the Shark,1,10-jul.-18,TRUE
Shutdown,Good Girls,Good Girls Season 1 Shutdown,1,10-jul.-18,TRUE
Special Sauce,Good Girls,Good Girls Season 1 Special Sauce,1,10-jul.-18,TRUE
A View From the Top,Good Girls,Good Girls Season 1 A View From the Top,1,10-jul.-18,TRUE
Taking Care of Business,Good Girls,Good Girls Season 1 Taking Care of Business,1,10-jul.-18,TRUE
Atom Bomb,Good Girls,Good Girls Season 1 Atom Bomb,1,10-jul.-18,TRUE
Borderline,Good Girls,Good Girls Season 1 Borderline,1,10-jul.-18,TRUE
Mo Money Mo Problems,Good Girls,Good Girls Season 1 Mo Money Mo Problems,1,09-jul.-18,TRUE
Pilot,Good Girls,Good Girls Season 1 Pilot,1,09-jul.-18,TRUE
Mr. Candidate,Mr. Young,Mr. Young Season 2 Mr. Candidate,2,06-jul.-18,TRUE
Mr. Witness,Mr. Young,Mr. Young Season 2 Mr. Witness,2,06-jul.-18,TRUE
Mr. Pickles,Mr. Young,Mr. Young Season 2 Mr. Pickles,2,06-jul.-18,TRUE
Mr. Roboto 2.0,Mr. Young,Mr. Young Season 2 Mr. Roboto 2.0,2,04-jul.-18,TRUE
The Kingpin Strategy,Narcos,Narcos Season 3 The Kingpin Strategy,3,04-jul.-18,TRUE
,TAU,TAU,,03-jul.-18,FALSE
Mr. Summer Vacation - Part 2,Mr. Young,Mr. Young Season 2 Mr. Summer Vacation - Part 2,2,03-jul.-18,TRUE
Mr. Summer Vacation - Part 1,Mr. Young,Mr. Young Season 2 Mr. Summer Vacation - Part 1,2,03-jul.-18,TRUE
Mr. Rock Star,Mr. Young,Mr. Young Season 2 Mr. Rock Star,2,03-jul.-18,TRUE
Mr. Student,Mr. Young,Mr. Young Season 2 Mr. Student,2,03-jul.-18,TRUE
Mr. Pixel,Mr. Young,Mr. Young Season 2 Mr. Pixel,2,03-jul.-18,TRUE
Mr. TV,Mr. Young,Mr. Young Season 2 Mr. TV,2,02-jul.-18,TRUE
Mr. Sleep,Mr. Young,Mr. Young Season 2 Mr. Sleep,2,02-jul.-18,TRUE
Mr. Space Part 2,Mr. Young,Mr. Young Season 1 Mr. Space Part 2,1,02-jul.-18,TRUE
Mr. Space Part 1,Mr. Young,Mr. Young Season 1 Mr. Space Part 1,1,02-jul.-18,TRUE
Mr. Moth,Mr. Young,Mr. Young Season 1 Mr. Moth,1,02-jul.-18,TRUE
Mr. Brain,Mr. Young,Mr. Young Season 1 Mr. Brain,1,02-jul.-18,TRUE
,Iron Man,Iron Man,,02-jul.-18,FALSE
Mr. Dog,Mr. Young,Mr. Young Season 1 Mr. Dog,1,02-jul.-18,TRUE
Mr. Marvelous,Mr. Young,Mr. Young Season 1 Mr. Marvelous,1,02-jul.-18,TRUE
Mr. Impossible,Mr. Young,Mr. Young Season 1 Mr. Impossible,1,02-jul.-18,TRUE
Mr. Shakespeare,Mr. Young,Mr. Young Season 1 Mr. Shakespeare,1,29-jun.-18,TRUE
Mr. Big Brother,Mr. Young,Mr. Young Season 1 Mr. Big Brother,1,29-jun.-18,TRUE
Mr. Ballerina,Mr. Young,Mr. Young Season 1 Mr. Ballerina,1,29-jun.-18,TRUE
Mr. Talent,Mr. Young,Mr. Young Season 1 Mr. Talent,1,29-jun.-18,TRUE
Mr. Honest,Mr. Young,Mr. Young Season 1 Mr. Honest,1,29-jun.-18,TRUE
Mr. Inventor,Mr. Young,Mr. Young Season 1 Mr. Inventor,1,29-jun.-18,TRUE
Mr. DNA,Mr. Young,Mr. Young Season 1 Mr. DNA,1,29-jun.-18,TRUE
Mr. Detention,Mr. Young,Mr. Young Season 1 Mr. Detention,1,29-jun.-18,TRUE
,Mortdecai,Mortdecai,,28-jun.-18,FALSE
,Atlantis The Lost Empire,Atlantis The Lost Empire,,23-jun.-18,FALSE
Pilot,Arrested Development,Arrested Development Season 1 Pilot,1,23-jun.-18,TRUE
,Unsolved Tupac & Biggie Nobody Talks,Unsolved Tupac & Biggie Nobody Talks,,21-jun.-18,FALSE
,Unsolved Tupac & Biggie Wherever It Leads,Unsolved Tupac & Biggie Wherever It Leads,,20-jun.-18,FALSE
Mr. Roboto,Mr. Young,Mr. Young Season 1 Mr. Roboto,1,20-jun.-18,TRUE
Mr. Younger Man,Mr. Young,Mr. Young Season 1 Mr. Younger Man,1,20-jun.-18,TRUE
Mr. Young,Mr. Young,Mr. Young Season 1 Mr. Young,1,20-jun.-18,TRUE
,Chop Shop,Chop Shop,,18-jun.-18,FALSE
,Maximum Risk,Maximum Risk,,18-jun.-18,FALSE
,Mute,Mute,,17-jun.-18,FALSE
My Hairiest Adventure,Goosebumps,Goosebumps Season 1 My Hairiest Adventure,1,17-jun.-18,TRUE
